REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
21-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.4
21-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,119.6
21-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,121.8
21-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,120.1
21-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.1
21-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.6
21-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,116.9
21-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,112.2
22-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,103
22-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,105.9
22-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,109
22-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,113
22-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,124.3
22-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,126.9
22-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,126.7
22-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,126.6
22-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,125.2
22-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,123.5
22-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,122.7
22-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,120.4
23-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,109.2
23-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,111.3
23-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,112.3
23-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.9
23-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,120.8
23-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,124.6
23-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,130.5
23-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,130.7
23-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,126.2
23-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,124.7
23-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,122.9
23-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,119.7
24-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,116.1
24-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,116.5
24-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.7
24-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,117.8
24-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,125
24-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,129.9
24-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,131.4
24-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,131.2
24-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,126
24-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,123.1
24-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,119.1
24-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,117.8
25-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,112.8
25-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.3
25-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,115.3
25-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,123.1
25-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,127.8
25-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,132.4
25-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,133.4
25-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,131.9
25-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 years and over,125.6
21-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.2
21-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,15
21-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,18.5
21-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,15.4
21-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.9
21-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.9
21-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.9
21-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.5
22-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,11.7
22-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.1
22-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.3
22-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.3
22-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,16.3
22-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,16.3
22-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,19.4
22-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,17.9
22-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.7
22-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.8
22-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.9
22-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.4
23-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,11.6
23-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,11.4
23-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,12.5
23-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,12.8
23-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.5
23-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,15.6
23-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,19
23-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,18.7
23-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.6
23-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.7
23-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.4
23-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.3
24-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.3
24-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.5
24-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,12.7
24-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.6
24-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.9
24-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,16.2
24-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,19.5
24-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,18.3
24-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.8
24-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.5
24-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.1
24-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.4
25-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,12.5
25-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.1
25-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.3
25-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,13.8
25-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,16.2
25-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,17.4
25-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,19.8
25-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,19.4
25-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,15 to 24 years,14.2
21-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,101.2
21-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,104.6
21-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103.3
21-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,104.7
21-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,101.2
21-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,101.7
21-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103
21-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,98.7
22-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,91.4
22-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,92.8
22-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,95.7
22-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,99.7
22-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108
22-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110.5
22-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,107.3
22-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.7
22-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110.5
22-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.7
22-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,107.8
22-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,106
23-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,97.7
23-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,99.9
23-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,99.8
23-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103.1
23-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,107.3
23-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.9
23-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.5
23-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,112
23-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.5
23-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110
23-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.5
23-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,106.4
24-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,102.8
24-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103
24-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103.1
24-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,104.1
24-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110.2
24-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,113.7
