REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",2.3
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",2.3
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",2
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.7
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.8
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.8
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.7
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.2
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.6
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.8
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
